"nome_popular" "nome_científico" "fase_ontogenetica" "srtm" "data_coleta" "obs" "lon" "lat"
"1" "Limão" "Citrus_sp" "adulto" "22m" "2021-10-07" NA -48.45746 -27.58093
"2" "Nona" "Annona_neosalicifolia" "adulto" "19m" "2021-10-07" NA -48.45745 -27.5808
"3" "Jerivá" "Syagrus_romanzoffiana" "adulto" "21m" "2021-10-07" "dois_indivíduos" -48.45745 -27.58077
"4" "Ingá" "Inga_striata" "juvenil" "23m" "2021-10-07" NA -48.45742 -27.58075
"5" "Café" "Coffea_sp" "adulto" "24m" "2021-10-07" NA -48.45731 -27.58069
"6" "Nona" "Annona_neosalicifolia" "adulto" "24m" "2021-10-07" NA -48.45733 -27.58062
"7" "Ingá" "Inga_striata" "juvenil" "24m" "2021-10-07" NA -48.45731 -27.58061
"8" "Ingá" "Inga_striata" "juvenil" "24m" "2021-10-07" NA -48.45734 -27.58064
"9" "Nona" "Annona_neosalicifolia" "adulto" "24m" "2021-10-07" NA -48.45736 -27.58066
"10" "Ingá" "Inga_striata" "adulto" "24m" "2021-10-07" NA -48.4573 -27.5806
"11" "Café" "Coffea_sp" "adulto" "23m" "2021-10-07" NA -48.45727 -27.58061
"12" "Jerivá" "Syagrus_romanzoffiana" "adulto" "21m" "2021-10-07" NA -48.45723 -27.58059
"13" "Jerivá" "Syagrus_romanzoffiana" "adulto" "22m" "2021-10-07" NA -48.45724 -27.58055
"14" "Jerivá" "Syagrus_romanzoffiana" "adulto" "20m" "2021-10-07" NA -48.45707 -27.58051
"15" "Ingá" "Inga_striata" "adulto" "20m" "2021-10-07" NA -48.45706 -27.58051
"16" "Nona" "Annona_neosalicifolia" "juvenil" "16m" "2021-10-07" NA -48.45707 -27.58038
"17" "Nona" "Annona_neosalicifolia" "adulto" "16m" "2021-10-07" NA -48.45702 -27.58036
"18" "Nona" "Annona_neosalicifolia" "juvenil" "16m" "2021-10-07" NA -48.45703 -27.58038
"19" "Jerivá" "Syagrus_romanzoffiana" "adulto" "14m" "2021-10-07" NA -48.45702 -27.58034
"20" "Pitanga" "Eugenia_uniflora" "adulto" "17m" "2021-10-07" NA -48.45688 -27.58022
"21" "Goiaba" "Psidium_guajava" "adulto" "19m" "2021-10-07" NA -48.45703 -27.58016
"22" "Goiaba" "Psidium_guajava" "adulto" "14m" "2021-10-07" NA -48.4571 -27.58002
"23" "Goiaba" "Psidium_guajava" "adulto" "11m" "2021-10-07" NA -48.45718 -27.57999
"24" "Goiaba" "Psidium_guajava" "adulto" "12m" "2021-10-07" NA -48.4572 -27.57991
"25" "Araticum-Panã" "Annona_glabra" "adulto" "12m" "2021-10-07" NA -48.45715 -27.57985
